name,node_id,osm_node_id,railway,level_crossing,access,description,x_coord,y_coord,geometry
,304,6243808192,,,,,104.1422842,30.6370485,POINT (104.1422842 30.6370485)
,305,6243808193,,,,,104.1422375,30.6368757,POINT (104.1422375 30.6368757)
,306,6243808194,,,,,104.1421745,30.6366045,POINT (104.1421745 30.6366045)
,307,6243808195,,,,,104.1421254,30.6363473,POINT (104.1421254 30.6363473)
,308,6243808196,,,,,104.1420601,30.6359616,POINT (104.1420601 30.6359616)
,309,6243808197,,,,,104.1418873,30.6350474,POINT (104.1418873 30.6350474)
,310,6243808198,,,,,104.1417869,30.6344688,POINT (104.1417869 30.6344688)
,311,6243808199,,,,,104.1417215,30.6341715,POINT (104.1417215 30.6341715)
,312,6243808200,,,,,104.1416514,30.6338801,POINT (104.1416514 30.6338801)
,313,6243808201,,,,,104.1415884,30.633637,POINT (104.1415884 30.633637)
,314,6243808202,,,,,104.1414646,30.6332774,POINT (104.1414646 30.6332774)
,315,6243808203,,,,,104.1413456,30.6329579,POINT (104.1413456 30.6329579)
,316,6243808204,,,,,104.1412241,30.6326787,POINT (104.1412241 30.6326787)
,317,6243808205,,,,,104.1393389,30.6287265,POINT (104.1393389 30.6287265)
,318,6243808206,,,,,104.1392115,30.6284738,POINT (104.1392115 30.6284738)
,319,6243808207,,,,,104.1391159,30.6283184,POINT (104.1391159 30.6283184)
,320,6243808208,,,,,104.1390027,30.6281296,POINT (104.1390027 30.6281296)
,321,6243808209,,,,,104.1388576,30.6279043,POINT (104.1388576 30.6279043)
,322,6243808210,,,,,104.1387125,30.6277002,POINT (104.1387125 30.6277002)
,323,6243808211,,,,,104.1385239,30.6274488,POINT (104.1385239 30.6274488)
,324,6243808212,,,,,104.1383605,30.6272439,POINT (104.1383605 30.6272439)
,325,6243808213,,,,,104.1381013,30.6269385,POINT (104.1381013 30.6269385)
,326,6243808214,,,,,104.1377207,30.6265045,POINT (104.1377207 30.6265045)
,327,6243808215,,,,,104.1373167,30.6260544,POINT (104.1373167 30.6260544)
,328,6243808216,,,,,104.1369279,30.6256646,POINT (104.1369279 30.6256646)
,329,6243808217,,,,,104.1366508,30.6253836,POINT (104.1366508 30.6253836)
,330,6243808218,buffer_stop,,,,104.1326491,30.6203298,POINT (104.1326491 30.6203298)
,331,6243808219,,,,,104.1338983,30.6219895,POINT (104.1338983 30.6219895)
,332,6243808220,,,,,104.1348323,30.6232373,POINT (104.1348323 30.6232373)
,333,6243808221,,,,,104.1357266,30.6244208,POINT (104.1357266 30.6244208)
,334,6243808222,,,,,104.1360015,30.6247847,POINT (104.1360015 30.6247847)
,335,6243808223,,,,,104.1363044,30.6251836,POINT (104.1363044 30.6251836)
,336,6243808224,,,,,104.1364096,30.6253091,POINT (104.1364096 30.6253091)
,337,6243808225,,,,,104.1365462,30.6254657,POINT (104.1365462 30.6254657)
