name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
,11407,879028840,,yes,,,"POLYGON ((106.4964437 29.7800786, 106.4965406 29.7800179, 106.4965396 29.7800167, 106.4964883 29.779955, 106.4963914 29.7800157, 106.4964437 29.7800786))",POINT (106.496466 29.7800168),99,1065.3
,11408,879028841,,yes,,,"POLYGON ((106.4966349 29.7801156, 106.4966949 29.7801926, 106.4969011 29.7800716, 106.496841 29.7799946, 106.4966349 29.7801156))",POINT (106.496768 29.7800936),248.6,2676.1
,11409,879028842,,yes,,,"POLYGON ((106.4966288 29.7802346, 106.4966966 29.7801948, 106.4966949 29.7801926, 106.4966349 29.7801156, 106.4965671 29.7801554, 106.4966288 29.7802346))",POINT (106.4966319 29.7801751),83.5,899.1
,11410,879028843,,yes,,,"POLYGON ((106.4964271 29.7796412, 106.4965074 29.7796375, 106.496496 29.7794531, 106.4964157 29.7794568, 106.4964271 29.7796412))",POINT (106.4964615 29.7795471),158.3,1703.8
,11411,879028844,,yes,,,"POLYGON ((106.4965257 29.7793465, 106.4967078 29.7793004, 106.4966808 29.77922, 106.4964987 29.7792661, 106.4965257 29.7793465))",POINT (106.4966033 29.7792832),169.9,1828.8
,11412,879028845,,yes,,,"POLYGON ((106.4966944 29.779411, 106.4966775 29.7793268, 106.4965504 29.7793679, 106.4965616 29.7794027, 106.4966944 29.779411))",POINT (106.4966298 29.7793758),85.3,917.7
,11413,879028846,,yes,,,"POLYGON ((106.4965542 29.779493, 106.496687 29.7795013, 106.4966944 29.779411, 106.4965616 29.7794027, 106.4965542 29.779493))",POINT (106.4966243 29.779452),128.7,1385.3
,11414,879028847,,yes,,,"POLYGON ((106.4965637 29.7795852, 106.4966851 29.7796116, 106.4967059 29.7795391, 106.4965845 29.7795128, 106.4965637 29.7795852))",POINT (106.4966348 29.7795622),100.1,1077.3
,11415,879028848,,yes,,,"POLYGON ((106.4964613 29.7796675, 106.4964025 29.7796754, 106.4964357 29.779862, 106.4964945 29.7798541, 106.4964935 29.7798486, 106.4964613 29.7796675))",POINT (106.4964485 29.7797647),120.5,1297.2
,11416,879028849,,yes,,,"POLYGON ((106.4964935 29.7798486, 106.4966653 29.7798256, 106.4966331 29.7796445, 106.4964613 29.7796675, 106.4964935 29.7798486))",POINT (106.4965633 29.7797466),340.7,3667.6
,11417,879028850,,yes,,,"POLYGON ((106.4962678 29.7802931, 106.4964044 29.7802519, 106.4963768 29.7801831, 106.4962403 29.7802242, 106.4962678 29.7802931))",POINT (106.4963223 29.7802381),112.7,1213.5
,11418,879028851,,yes,,,"POLYGON ((106.4962811 29.7803984, 106.4964273 29.7803457, 106.4964829 29.7804512, 106.4965618 29.7804198, 106.4964758 29.780257, 106.496252 29.7803376, 106.4962811 29.7803984))",POINT (106.4964233 29.7803489),278.8,3001.4
,11419,879028852,,yes,,,"POLYGON ((106.4962789 29.7805492, 106.4962962 29.7804264, 106.4961924 29.7804154, 106.4961751 29.7805382, 106.4961654 29.7806075, 106.4965068 29.7806437, 106.4965165 29.7805744, 106.4962789 29.7805492))",POINT (106.4963041 29.7805529),393.2,4232.6
,11420,879028853,,yes,,,"POLYGON ((106.4967571 29.780861, 106.4968548 29.7808074, 106.4967249 29.7806289, 106.4966272 29.7806824, 106.4966674 29.7807377, 106.4967571 29.780861))",POINT (106.496741 29.7807449),260.9,2808.4
